Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent ()
3909,281.89,3.4,-23.5,8233.88,34020.0,63713.0
3910,295.55,3.28,17.67,-7725.69,34009.0,64996.0
3911,322.08,3.37,-20.95,8079.53,33838.0,60907.0
3912,334.38,3.27,19.44,-7624.02,33506.0,2388.0
3913,371.51,3.36,-18.68,8172.27,33372.0,61137.0
3914,372.98,3.27,22.18,-7956.14,33043.0,2564.0
3915,397.07,3.38,-17.6,8216.1,32921.0,61289.0
3916,379.59,3.29,23.48,-8389.73,32675.0,2352.0
3917,379.81,3.41,-18.46,8159.22,32890.0,63781.0
3918,364.53,3.32,22.33,-8280.05,33164.0,3767.0
3919,353.67,3.43,-19.07,7839.5,33620.0,63258.0
3920,314.16,3.34,20.13,-8439.14,33850.0,4264.0
3921,294.43,3.44,-22.07,7843.33,34290.0,63478.0
3922,277.62,3.33,17.15,-7958.78,34372.0,63211.0
3923,271.93,3.41,-22.64,7673.37,34267.0,61851.0
3924,274.47,3.3,15.72,-7396.07,33971.0,2732.0
3925,300.16,3.38,-21.26,7752.73,33930.0,60932.0
3926,314.86,3.27,17.51,-7246.23,33644.0,1971.0
3927,345.78,3.36,-18.73,7689.5,33597.0,61194.0
3928,354.4,3.26,19.72,-7329.78,33297.0,2797.0
3929,383.54,3.36,-16.93,7715.28,33185.0,61161.0
3930,375.45,3.28,21.65,-7707.73,32925.0,2741.0
3931,394.66,3.39,-16.89,7875.33,32825.0,1451.0
3932,371.46,3.3,22.49,-8170.43,32817.0,3925.0
3933,381.36,3.41,-18.36,8143.53,33045.0,62579.0
3934,347.75,3.32,22.35,-8631.97,33136.0,4121.0
3935,335.53,3.43,-20.81,8164.09,33398.0,63127.0
3936,305.62,3.33,20.01,-8554.3,33469.0,3846.0
3937,291.85,3.43,-22.76,8078.69,33729.0,63625.0
3938,277.02,3.32,17.64,-8147.61,33802.0,4454.0
3939,278.64,3.41,-23.1,8003.66,34076.0,63183.0
3940,290.07,3.29,16.92,-7544.17,34048.0,15.0
3941,314.0,3.37,-20.8,7853.76,33914.0,62001.0
3942,327.99,3.27,18.46,-7365.9,33597.0,2560.0
3943,363.51,3.36,-18.37,7891.53,33510.0,61163.0
3944,366.2,3.27,21.09,-7653.97,33201.0,2359.0
3945,393.49,3.38,-17.18,7988.87,33124.0,61711.0
3946,379.33,3.29,22.77,-8100.42,32818.0,2428.0
3947,388.35,3.4,-17.74,8053.25,32903.0,63165.0
3948,369.4,3.32,22.53,-8254.86,33011.0,3775.0
3949,363.65,3.43,-18.74,7914.52,33364.0,63029.0
3950,328.15,3.33,20.83,-8437.19,33463.0,4105.0
3951,311.73,3.44,-21.36,7900.64,33811.0,63103.0
3952,283.84,3.33,18.15,-8244.92,33900.0,4721.0
3953,271.79,3.42,-23.08,7822.47,34257.0,62931.0
3954,273.33,3.31,16.03,-7560.89,34221.0,65146.0
3955,287.16,3.39,-21.77,7677.14,34048.0,61967.0
3956,302.49,3.28,16.62,-7152.84,33749.0,1861.0
3957,338.33,3.36,-19.15,7703.37,33617.0,61245.0
3958,349.39,3.27,19.37,-7290.64,33304.0,1965.0
3959,381.42,3.36,-17.09,7737.6,33168.0,60823.0
3960,377.86,3.28,21.6,-7637.98,32839.0,2543.0
3961,396.48,3.39,-16.59,7794.33,32753.0,2526.0
